ID,Title,State,Developer,Module,Severity,Tester,createdDate,RootCause
47046,AIT Billing:  NSF Letter shows Insured Name on Remittance stub as 0,Closed,Nikita Mazgaonkar,Billing,2 - Medium,Lisa O'Brien,7/19/2019 1:21,Broken Functionality
47023,AIT Billing: Agency Statements Failing to Generate,Closed,Manasi Bobade,Billing,3 - High,Alyson Murphy,7/17/2019 23:59,Mapping Issues
47180,AIT Billing: Annual pay plan policy (002PRM0000139116) is displays next scheduled Invoice incorrectly (Base Issue SF 00063201),On Hold,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,7/26/2019 2:57,Base Defect
47183,AIT Billing: Current Amount due is not getting updated properly when we have suspense amount in bucket and next schedule invoice is generated on account,Closed,Manasi Bobade,Billing,3 - High,Rajashri Kesarkar,7/26/2019 15:48,Broken Functionality
47341,"AIT Billing: DCOD Invoice, reminder notice and PCN objects are getting failed on DCOD environment",Closed,Kyle Spears,Billing,3 - High,Rajashri Kesarkar,8/14/2019 15:25,Environment Related
47430,AIT Billing: Dividend Amount not transferring to Billing,Closed,Manasi Bobade,Billing,2 - Medium,Alyson Murphy,8/22/2019 1:07,Environment Related
47501,AIT Billing: Hold activity message is getting generated with incorrect wordings (At Policy Term Level),Closed,Omkar M. Sakpal,Billing,1 - Low,Rajashri Kesarkar,8/28/2019 14:33,Broken Functionality
47343,AIT Billing: Installment fee is not getting waived off on full payment for MA 001 policy when we have dividend on policy,Closed,Nikita Mazgaonkar,Billing,2 - Medium,Rajashri Kesarkar,8/14/2019 16:11,Broken Functionality
47432,AIT Billing: Installment numbering are missing from invoice generated after reinstatement transaction.,Closed,Manasi Bobade,Billing,1 - Low,Rajashri Kesarkar,8/22/2019 16:28,Broken Functionality
47019,AIT Billing: Installment Schedule Display Issue (Catch-Up Installment Icons),Closed,Satyanshu Acharya,Billing,2 - Medium,Alyson Murphy,7/17/2019 21:26,Code Error
47207,AIT Billing: Installment schedule for policies with zero balance and having suspense amount is not getting loaded,Closed,Divakar Kareddy,Billing,2 - Medium,Rajashri Kesarkar,7/29/2019 21:11,Broken Functionality
47139,AIT Billing: Invoice Does Not Calculate Correctly for (Surcharges) on Invoice After Cancellation and Reinstatement,Closed,Nikita Mazgaonkar,Billing,3 - High,Rajashri Kesarkar,7/24/2019 5:23,Broken Functionality
47414,AIT Billing: Invoice is getting suppressed twice for 12 pay plan MA policy after PCN (Base Issue - SF 00061724),On Hold,Manasi Bobade,Billing,1 - Low,Rajashri Kesarkar,8/20/2019 12:25,Base Defect
47043,AIT Billing: Invoice Not Launching After Selecting Paper Clip Icon,Closed,Jonathan pinney,Billing,3 - High,Alyson Murphy,7/18/2019 23:38,Code Error
47070,"AIT Billing: Missing Agent, Payor, and Account Representative Headers on Account Home Page",Closed,Satyanshu Acharya,Billing,2 - Medium,Alyson Murphy,7/21/2019 23:19,Code Error
47747,AIT Billing: Not able to generate commission statement on DCOD,Closed,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,9/18/2019 18:09,Broken Functionality
47421,"AIT Billing: On a newly entered policy, the Account ledger, Account Details, Payee, Payor, and Account Rep sections are not loading when first entering the page",Closed,Divakar Kareddy,Billing,1 - Low,Rajashri Kesarkar,8/20/2019 21:58,Code Error
47506,AIT Billing: Out of Cycle Installment Generating on 12 Pay Policy.,Closed,Manasi Bobade,Billing,3 - High,Rajashri Kesarkar,8/28/2019 21:26,Broken Functionality
47326,AIT Billing: Payment reversal options are not getting populated,Closed,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,8/14/2019 0:56,Data Error
47304,AIT Billing: Policies Not Transferring to Billing (Environment BalFix and DCOD APP01),Closed,Debidatta Dash,Billing,4 - Critical,Alyson Murphy,8/8/2019 20:49,Code Error
47069,AIT Billing: Remove EFT Maintenance Link From Left Navigation Pane on Account Home Page,Closed,Satyanshu Acharya,Billing,2 - Medium,Alyson Murphy,7/21/2019 21:56,Code Error
47059,AIT Billing: Reports Failing In BalFix,Closed,Vikram Lembhe,Billing,2 - Medium,Alyson Murphy,7/19/2019 18:38,Broken Functionality
47138,AIT Billing: RSOD on account search during payment transfer (July 2019 Base Release),Closed,,Billing,3 - High,Ronda Chrzan,7/24/2019 3:23,
47179,"AIT Billing: Screen Display Issues-Home Screen, Installment Schedule, Payment Details",Closed,Satyanshu Acharya,Billing,2 - Medium,Alyson Murphy,7/26/2019 2:09,Code Error
47330,AIT Billing: System Error When Making a Payment,Closed,Vikram Lembhe,Billing,3 - High,Alyson Murphy,8/14/2019 2:16,Code Error
47182,AIT Billing: Unable to select “check” as payment method on make a payment screen,Closed,Nikita Mazgaonkar,Billing,2 - Medium,Rajashri Kesarkar,7/26/2019 15:25,Broken Functionality
47029,AIT Billing: Unit testing Agency Statement does not Generate.,Cancelled,,Billing,2 - Medium,Rajashri Kesarkar,7/18/2019 12:04,Duplicate
47028,AIT Billing: Unit testing: PaymentTransfer grid disappers after focus out during partial amount transfer (Base Issue - SF 00061585),Closed,Divakar Kareddy,Billing,2 - Medium,Stacey Eley-Daughtry,7/18/2019 12:02,Base Defect
47152,AIT Billing:Disable Due Date Change Link from Installment Schedule(New Feature),Closed,Manasi Bobade,Billing,3 - High,Alyson Murphy,7/25/2019 3:02,Broken Functionality
47017,AIT Claims -  Claims Home Page QUICK SEARCH -- Search claims by Claim Number - Base Issue,Closed,Rohan Mehta,Claims,1 - Low,Yogarajesh Sundaram,7/17/2019 19:36,Base Defect
47080,"AIT Claims - Desktop-Claim Folder- Loss Details- Fatality Exists field should not displayed as per Existing application, Verified in Pods Environment",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,7/22/2019 16:56,Broken Functionality
47685,AIT Claims - Free Form wording radio button not displaying in Edit Name payee Name on Check lightbox and verified in Dev1 Environment free form wording displays,Cancelled,Manas Das,Claims,2 - Medium,Yogarajesh Sundaram,9/12/2019 11:29,
47477,"AIT Claims - In File Note, Category field select value Damages/Injury, or Coverages, or Negotiation, Sub category drop down value displayed are blank in DCOD, Verified in Dev1 environment Subcategory field is displayed disabled. (Base 00061304)",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,8/27/2019 17:37,Broken Functionality
47156,"AIT Claims - In File Note,Category field Communications drop down value not displayed",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,7/25/2019 12:39,Data Error
47498,"AIT Claims - In Reply File Note Event Level Claim List field value displaying a Number format,Verified in Dev1 10.4.0.4 version Environment displays a Claim Number - Insured Name.",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,8/28/2019 13:30,Broken Functionality
47438,"AIT Claims - New Copied Claim Number link, Original Claim Number and Claim Owner is not selecting in Copy/Clone Claim Setup Page",Closed,Manas Das,Claims,2 - Medium,Yogarajesh Sundaram,8/22/2019 18:31,Broken Functionality
47484,AIT Claims - ReconcileLimitAndDeductibles Event not getting generated for Channel 2 as in the case with Production environment,Closed,Manas Das,Claims,2 - Medium,Yogarajesh Sundaram,8/27/2019 20:16,Broken Functionality
47668,AIT Claims - Unable to post the Payment for Professional Liability and navigate to Insufficient authority automatically requested amount generates,Cancelled,Swati Rastogi,Claims,3 - High,Yogarajesh Sundaram,9/10/2019 18:43,User Error
47030,AIT Claims - Verify making Bulk Payments,Closed,Manas Das,Claims,2 - Medium,Yogarajesh Sundaram,7/18/2019 12:31,Broken Functionality
47669,"AIT Claims - While enter the Invoice Amount above ""9999999999.99"" system allows to save. Verified in Dev1 Invoice Amount displays a Error Message : Invalid Amount  (Base Issue - SF 00063359)",On Hold,Rohan Mehta,Claims,1 - Low,Yogarajesh Sundaram,9/10/2019 19:48,Base Defect
47499,"AIT Claims - While perform FNOL process, In I Need To Portlet Click Add File Note displays a Page breaks and Verified in Dev1 10.4.0.4 version displays a Page breaks.",Cancelled,,Claims,2 - Medium,Yogarajesh Sundaram,8/28/2019 13:42,
47527,"AIT Claims - While selecting the DCT Policy displaying a Page breaks and pointing to Prod,Verified in stest1 environment pointing to stest1.policy url",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,8/30/2019 19:10,
47074,AIT Claims- Add vehicle link displayed in FNOL- I need to Portlet section,Closed,Anand Pillai,Claims,2 - Medium,Anand Pillai,7/22/2019 16:28,Broken Functionality
47077,AIT Claims- Assign a Supplier link should not be displayed in I Need to Portlet in Desktop View,Closed,Manas Das,Claims,2 - Medium,Anand Pillai,7/22/2019 16:48,Broken Functionality
47073,AIT Claims- Business Error Message did not display while searching empty policy number,Closed,Manas Das,Claims,2 - Medium,Anand Pillai,7/22/2019 16:23,Broken Functionality
47157,AIT Claims- Business Error message for Driving licence Number displayed after clicking on Mark Primary Option for Contact Address on Maintain Contact page (Base Release 11.0.0.4 - SF ticket 00058663 ),On Hold,Rohan Mehta,Claims,2 - Medium,Anand Pillai,7/25/2019 12:45,Base Defect
47368,AIT Claims- COPY/CLONE functionality not working as expected,Closed,Rohan Mehta,Claims,3 - High,Anand Pillai,8/16/2019 15:15,Broken Functionality
47465,AIT Claims- Coverage Cancel date is not populated and AERP date is equal to policy expiration date,Closed,Prasad Chavri,Claims,3 - High,Anand Pillai,8/26/2019 16:12,Code Error
47434,AIT CLAIMS- Coverages on Policy not available under Subject of Insurance after Policy Attach on Copied claim,Cancelled,,Claims,3 - High,Anand Pillai,8/22/2019 17:31,
47078,AIT Claims- Desktop-Claim Folder- Claim Details- Covered Item section did not displayed. As per existing application Covered item should be displayed under Claim Details,Cancelled,,Claims,2 - Medium,Anand Pillai,7/22/2019 16:50,
47079,AIT Claims- Desktop-Line- Page Actions- Damages Link display two times in Portlet,Closed,Manas Das,Claims,2 - Medium,Anand Pillai,7/22/2019 16:55,Broken Functionality
47081,AIT Claims- Desktop-Line- Page Actions- Recovery Details link is disabled,Cancelled,Swati Rastogi,Claims,2 - Medium,Anand Pillai,7/22/2019 16:57,
47159,"AIT Claims- In File Note, while selecting the Category value Payment / Reserve and Recovery Fill-In-Note field not be displayed - Base Defect - 00058107",Closed,Swati Rastogi,Claims,2 - Medium,Yogarajesh Sundaram,7/25/2019 15:22,Base Defect
47170,"AIT Claims- In File Note,Note Field text are allowing above 12000 characters",Closed,Swati Rastogi,Claims,2 - Medium,Yogarajesh Sundaram,7/25/2019 19:45,Broken Functionality
47184,"AIT Claims- In File Note,View a Save As Draft File Notes Event Level Claim List field value displaying a Number format",Closed,Arvind Prajapati,Claims,2 - Medium,Yogarajesh Sundaram,7/26/2019 16:44,Broken Functionality
47181,AIT Claims- New Features of Dynamic Filters for File Notes & Attachments are not displaying,Closed,Arvind Prajapati,Claims,3 - High,Yogarajesh Sundaram,7/26/2019 13:52,Data Error
47479,AIT Claims- Page break occurred on clicking Complete Assignment on Copied claim (Base 00063528),Closed,Rohan Mehta,Claims,2 - Medium,Anand Pillai,8/27/2019 18:16,Broken Functionality
47474,AIT Claims- Page break occurred when clone claim radio button was checked and clicked on Continue button,Closed,Manas Das,Claims,2 - Medium,Anand Pillai,8/27/2019 12:16,Code Error
47476,AIT Claims- Page break occurred when Policy is attached for the second time on copied claim,Closed,Swati Rastogi,Claims,3 - High,Anand Pillai,8/27/2019 16:57,Broken Functionality
47676,AIT Claims- Page break occurred when Policy is attached for the second time on copied claim (Base 00062851),Closed,Rohan Mehta,Claims,3 - High,Anand Pillai,9/11/2019 16:59,Base Defect
47369,AIT Claims- Page break on Void Payment,Closed,Manas Das,Claims,2 - Medium,Anand Pillai,8/16/2019 15:27,Broken Functionality
47437,AIT Claims- Page break when participant Logo Tester is added as Risk on claim from Policy-005AL000003875,Closed,Rohan Mehta,Claims,2 - Medium,Anand Pillai,8/22/2019 18:05,Data Error
47342,AIT Claims- Specified URL not found when clicked on Saved Payment Transactions,Closed,,Claims,2 - Medium,Anand Pillai,8/14/2019 16:00,
47193,AIT Claims- Technical Error Occurred while searching for Policy,Closed,Vikram Lembhe,Claims,4 - Critical,Anand Pillai,7/29/2019 12:53,Configuration Build
47390,AIT Claims- Unable to Add Settlement Details on Negotiation page (Base Issue 00063932),On Hold,Rohan Mehta,Claims,2 - Medium,Anand Pillai,8/19/2019 17:36,Base Defect
47514,AIT Claims- Unable to Coverage match on Copied claim,Closed,Manas Das,Claims,3 - High,Anand Pillai,8/29/2019 15:31,Code Error
47630,AIT Claims- Unable to Coverage match on Copied claim (Base 00062181),Closed,Manas Das,Claims,3 - High,Anand Pillai,9/6/2019 16:24,Code Error
47745,AIT Claims- Unable to transfer financial on the Original cloned claim,Closed,Swati Rastogi,Claims,3 - High,Anand Pillai,9/18/2019 15:45,Code Error
47113,AIT Claims- View all Negotiations and View all Recovery Negotiations should not be displayed under Page actions of Claim folder,Cancelled,,Claims,2 - Medium,Anand Pillai,7/23/2019 17:03,
47371,"AIT Claims- While select Category except ""File Note"" & ""Investigation"" Reply File Note displays a Page breaks error",Closed,Rohan Mehta,Claims,2 - Medium,Yogarajesh Sundaram,8/16/2019 17:22,Broken Functionality
47219,AIT Claims: Unable to create Deductible account from claims to billing,Closed,Swati Rastogi,Claims,3 - High,Rajashri Kesarkar,7/30/2019 18:18,Broken Functionality
47508,AIT DCOD STP POLICY - New Quote Button Click RSOD,Closed,Debidatta Dash,POLICY - STP,4 - Critical,Dena Caron,8/28/2019 22:02,Test Invalid
47558,AIT PARTY - No Option for Create New Person or Place when Party is not found via Search,Closed,Prasad Chavri,Party,2 - Medium,Dena Caron,9/3/2019 19:29,Code Error
47334,AIT Party: DCOD: Expiration Date is not editable for 2nd address added in party,Closed,Prasad Chavri,Party,2 - Medium,Vijeta Bhatia,8/14/2019 11:39,
47554,AIT Party: DCOD: RSOD on clicking Duplicate Party Reconciliation,Closed,Prasad Chavri,Party,2 - Medium,Vijeta Bhatia,9/3/2019 17:14,Code Error
47603,AIT Party: DCOD: State field blanks out even after verification on adding a new party,Closed,Debidatta Dash,Party,2 - Medium,Vijeta Bhatia,9/5/2019 13:22,Code Error
47683,AIT Party: Duplicate Party Reconciliation,Closed,Debidatta Dash,Party,2 - Medium,Vijeta Bhatia,9/11/2019 21:43,Environment Related
46989,AIT PARTY: Error on clicking PartySearch when Party Type is Agency,Cancelled,,Party,2 - Medium,Vijeta Bhatia,7/16/2019 18:39,Test Invalid
47758,AIT Party: Intermittent Issues: Party screen does not load on click of Done button while creating a new party,Closed,Debidatta Dash,Party,3 - High,Vijeta Bhatia,9/19/2019 13:42,Code Error
47681,AIT Party: Party Records are updated when same party is attached in the Policy,Closed,Debidatta Dash,POLICY,3 - High,Vijeta Bhatia,9/11/2019 21:25,Code Error
47006,AIT PARTY: Remove Agency from the Picklist for the field “This person or place is a (an).”,Closed,Prasad Chavri,Party,2 - Medium,Vijeta Bhatia,7/17/2019 11:28,Code Error
47429,AIT Party: RSOD Error when Clicking Select link for Existing Party on Search Results screen,Closed,Nidhi Benson,Party,2 - Medium,Monica Frazier,8/22/2019 0:42,Environment Related
47461,AIT Party: URL Changes when going from Party to Policy using the Policy URL link,Cancelled,,Party,3 - High,Monica Frazier,8/24/2019 1:01,Configuration Build
47336,AIT Party:Billing Address is not present in update associations,Closed,Prasad Chavri,Party,2 - Medium,Vijeta Bhatia,8/14/2019 14:45,Code Error
47018,AIT Policy - Alignment And Uniformity Of Screen   - (Skins),Closed,Satyanshu Acharya,POLICY,1 - Low,Karan Ajmera,7/17/2019 19:48,Code Error
47195,AIT POLICY - Complete Insured Name Not Appearing On Transact,Closed,,POLICY,2 - Medium,Karan Ajmera,7/29/2019 15:56,Test Invalid
47553,AIT Policy - DCOD: Unable to perform Restart Transaction - Manuscript isn’t available for selection in the drop-down for New Version,Closed,Prasad Chavri,POLICY,2 - Medium,Vijeta Bhatia,9/3/2019 17:10,Code Error
47524,AIT Policy - EXU - Premium values not retained after ReIssue (Existing Issue),Open,Vikram Lembhe,POLICY,2 - Medium,Santosh Bhangre,8/30/2019 14:31,Existing Issue
46978,AIT POLICY - Legacy Party Search Party's not found,Closed,Debidatta Dash,Party,3 - High,Dena Caron,7/16/2019 1:26,Data Error
47083,AIT Policy - Party Details do not populate on CPP Correctly,Cancelled,,POLICY,2 - Medium,Karan Ajmera,7/22/2019 16:59,Test Invalid
47546,AIT Policy - Party: Error on adding a new Address,Closed,,Party,2 - Medium,Santosh Bhangre,9/3/2019 10:38,Environment Related
47677,AIT Policy - Party: Party 360 is not working,Closed,Debidatta Dash,Party,2 - Medium,Vijeta Bhatia,9/11/2019 17:59,Configuration Design
47112,AIT Policy - Premiums Of EXU Coverage Appearing Incorrect,Cancelled,Nidhi Benson,POLICY,3 - High,Karan Ajmera,7/23/2019 16:44,Configuration Design
47066,AIT Policy - Product Pricing Page Reinstatement  Hyper link of RISK working incorrectly (Existing Issue),Open,,POLICY,2 - Medium,Karan Ajmera,7/19/2019 19:46,Existing Issue
46974,AIT POLICY - Redirect to Coverys.com Upon Logout of NetCore - Base Issue,Closed,,POLICY,2 - Medium,Dena Caron,7/16/2019 1:08,Base Defect
47008,AIT Policy - RSOD When Clicking On Rating Worksheet Button,Closed,Vikram Lembhe,POLICY,3 - High,Karan Ajmera,7/17/2019 15:22,Code Error
47024,AIT POLICY - Short Term Endorsement Functionality is missing,Cancelled,Prasad Chavri,POLICY,3 - High,Dena Caron,7/18/2019 0:18,Test Invalid
47224,AIT Policy - STP:  RSOD ON STP,Closed,Nidhi Benson,POLICY - STP,4 - Critical,Karan Ajmera,7/30/2019 18:57,Environment Related
47221,AIT Policy - STP: Policy Forms Page of STP shows the Netcore view 'Policy Form',Closed,Nidhi Benson,POLICY - STP,2 - Medium,Karan Ajmera,7/30/2019 18:29,Broken Functionality
47217,AIT Policy - STP: Theme and Font of the UI Is Incorrect,Cancelled,,POLICY - STP,2 - Medium,Karan Ajmera,7/30/2019 17:59,
47431,AIT Policy - Technical Error occurred while searching Policy by History Number,Closed,Vikram Lembhe,POLICY,3 - High,Anand Pillai,8/22/2019 16:11,Code Error
47007,AIT Policy – Term Filter Working Incorrectly,Closed,Nidhi Benson,POLICY,2 - Medium,Karan Ajmera,7/17/2019 15:03,Broken Functionality
47389,AIT Policy  User is able to select future date as retrospective date on Employee Benefits Liability coverage,Cancelled,Prasad Chavri,POLICY,2 - Medium,Karan Ajmera,8/19/2019 15:38,Existing Issue
47216,AIT POLICY : Agency account not getting searched,Closed,Prasad Chavri,POLICY,2 - Medium,Rajashri Kesarkar,7/30/2019 12:44,Broken Functionality
47701,AIT Policy : Party - Unable to change the State after initial selection,Closed,Vikram Lembhe,Party,2 - Medium,Santosh Bhangre,9/13/2019 14:09,
47352,AIT Policy DCOD-Rescind Button Not Visible,Closed,Satyanshu Acharya,POLICY,2 - Medium,Karan Ajmera,8/14/2019 18:23,Code Error
47151,AIT POLICY Issues with Flat Cancellation,Closed,Prasad Chavri,POLICY,3 - High,Karan Ajmera,7/25/2019 2:30,Code Error
46979,AIT POLICY New Feature Suspend Transaction to be Hidden,Closed,Prasad Chavri,POLICY,2 - Medium,Dena Caron,7/16/2019 1:36,Code Error
47494,AIT POLICY Operational Reporting No reports displaying,Closed,Jonathan pinney,POLICY,3 - High,Dena Caron,8/27/2019 23:08,Broken Functionality
46981,AIT POLICY Operational Reporting No reports displaying and  RSOD,Closed,Kunal Tembhurnekar,POLICY,4 - Critical,Dena Caron,7/16/2019 2:22,Data Error
46980,AIT POLICY Policy Detail Page Field Policy Issuance State drop down option for Select only. No States available,Closed,Vikram Lembhe,POLICY,3 - High,Dena Caron,7/16/2019 1:50,Code Error
47150,AIT POLICY Renewal in PCN displaying Premium on TransAct Page,Closed,Prasad Chavri,POLICY,3 - High,Dena Caron,7/25/2019 2:07,Code Error
47032,AIT Policy Renewal Policy Not Going To PCN,Closed,Prasad Chavri,POLICY,2 - Medium,Karan Ajmera,7/18/2019 13:19,Code Error
46997,AIT POLICY Restart Transaction Can Not Bind,Closed,Prasad Chavri,POLICY,3 - High,Dena Caron,7/17/2019 0:19,Code Error
47665,AIT Policy RSOD For EXU and EXM,Closed,Prasad Chavri,POLICY,4 - Critical,Karan Ajmera,9/10/2019 15:43,Code Error
46987,AIT POLICY RSOD When Adding CPL Risk,Closed,Prasad Chavri,POLICY,4 - Critical,Dena Caron,7/16/2019 17:38,Code Error
47446,AIT Policy STP : PCL Missing Under Optional Coverage,Closed,Nidhi Benson,POLICY - STP,2 - Medium,Karan Ajmera,8/23/2019 15:11,Broken Functionality
47169,"AIT Policy: ""Change Underwriter Associate"" tab is missing",Closed,Satyanshu Acharya,POLICY,2 - Medium,Vijeta Bhatia,7/25/2019 19:32,Code Error
47010,"AIT POLICY: Add an exposure on FPL, on Page Refresh user is navigated to the top of the screen - (Skins)",Closed,Kunal Tembhurnekar,POLICY,1 - Low,Vijeta Bhatia,7/17/2019 15:33,Code Error
47117,AIT Policy: Applicant screen for New Quote has State selected as AK by default,Closed,Nidhi Benson,POLICY,2 - Medium,Vijeta Bhatia,7/23/2019 17:32,Broken Functionality
